species,state,location,pop,fishno,day,month,year,length_cm,folder,picname,cal,photoshop,included
melanochir,VIC,CORNER INLET,VI,V12,26,8,2019,24.3,ME,V12,189,N,
melanochir,VIC,CORNER INLET,VI,V13,26,8,2019,27.4,ME,V13,189,N,
melanochir,VIC,CORNER INLET,VI,V14,26,8,2019,27.2,ME,V14,189,N,
melanochir,VIC,CORNER INLET,VI,V15,26,8,2019,26.5,ME,V15,189,N,
melanochir,VIC,CORNER INLET,VI,V16,26,8,2019,23.6,ME,V16,189,N,
melanochir,VIC,CORNER INLET,VI,V17,26,8,2019,23.3,ME,V17,189,N,
melanochir,VIC,CORNER INLET,VI,V18,26,8,2019,25.3,ME,V18,189,N,
melanochir,VIC,CORNER INLET,VI,V19,26,8,2019,26.6,ME,V19,189,N,
melanochir,VIC,CORNER INLET,VI,V20,26,8,2019,25.7,ME,V20,189,N,
melanochir,VIC,CORNER INLET,VI,V21,26,8,2019,20.5,ME,V21,189,N,
melanochir,VIC,CORNER INLET,VI,V22,26,8,2019,25.7,ME,V22,189,N,
melanochir,VIC,CORNER INLET,VI,V23,26,8,2019,22.9,ME,V23,189,N,
melanochir,VIC,CORNER INLET,VI,V24,26,8,2019,25.2,ME,V24,189,N,
melanochir,VIC,CORNER INLET,VI,V25,26,8,2019,22.1,ME,V25,189,N,
melanochir,VIC,CORNER INLET,VI,V26,26,8,2019,25.9,ME,V26,189,N,
melanochir,VIC,CORNER INLET,VI,V27,26,8,2019,23.3,ME,V27,189,N,
melanochir,VIC,CORNER INLET,VI,V28,26,8,2019,25,ME,V28,189,N,
melanochir,VIC,CORNER INLET,VI,V29,26,8,2019,23.1,ME,V29,189,Y,
melanochir,VIC,CORNER INLET,VI,V30,26,8,2019,22.8,ME,V30,189,N,
melanochir,VIC,CORNER INLET,VI,V31,26,8,2019,25.8,ME,V31,189,N,
melanochir,SA,ADELAIDE,SA,SA01,19,2,2020,26.2,ME,SA01,189,N,
melanochir,SA,ADELAIDE,SA,SA02,19,2,2020,24.3,ME,SA02,189,N,
melanochir,SA,ADELAIDE,SA,SA03,19,2,2020,24.5,ME,SA03,189,N,
melanochir,SA,ADELAIDE,SA,SA04,19,2,2020,24.9,ME,SA04,189,N,
melanochir,SA,ADELAIDE,SA,SA05,19,2,2020,25.2,ME,SA05,189,N,
melanochir,SA,ADELAIDE,SA,SA06,19,2,2020,27,ME,SA06,189,N,
melanochir,SA,ADELAIDE,SA,SA07,19,2,2020,25.1,ME,SA07,189,Y,
melanochir,SA,ADELAIDE,SA,SA08,19,2,2020,24.6,ME,SA08,189,N,
melanochir,SA,ADELAIDE,SA,SA09,19,2,2020,24.7,ME,SA09,189,N,
melanochir,SA,ADELAIDE,SA,SA10,19,2,2020,24.5,ME,SA10,189,N,
melanochir,SA,ADELAIDE,SA,SA11,19,2,2020,27,ME,SA11,189,N,
melanochir,SA,ADELAIDE,SA,SA12,19,2,2020,24.1,ME,SA12,189,N,
melanochir,SA,ADELAIDE,SA,SA13,19,2,2020,24,ME,SA13,189,N,
melanochir,SA,ADELAIDE,SA,SA14,19,2,2020,24.4,ME,SA14,189,N,
melanochir,SA,ADELAIDE,SA,SA15,19,2,2020,25.4,ME,SA15,189,N,
NA,SA,ADELAIDE,SA,SA16,19,2,2020,26.5,ME,SA16,189,N,
NA,SA,ADELAIDE,SA,SA17,19,2,2020,25.8,ME,SA17,189,N,
melanochir,SA,ADELAIDE,SA,SA18,19,2,2020,25.3,ME,SA18,189,N,
melanochir,SA,ADELAIDE,SA,SA19,19,2,2020,24.7,ME,SA19,189,N,
NA,SA,ADELAIDE,SA,SA20,19,2,2020,25.4,ME,SA20,189,N,
melanochir,WA,PERTH,WA,WA01,22,4,2019,22.9,ME,WA01,189,N,
melanochir,WA,PERTH,WA,WA02,22,4,2019,25.8,ME,WA02,189,N,
melanochir,WA,PERTH,WA,WA03,22,4,2019,24.5,ME,WA03,189,N,
melanochir,WA,PERTH,WA,WA04,22,4,2019,26.4,ME,WA04,189,N,
melanochir,WA,PERTH,WA,WA05,22,4,2019,28,ME,WA05,189,N,
melanochir,WA,PERTH,WA,WA06,22,4,2019,22,ME,WA06,189,N,
melanochir,WA,PERTH,WA,WA07,22,4,2019,23,ME,WA07,189,N,
melanochir,WA,PERTH,WA,WA08,22,4,2019,23.5,ME,WA08,189,N,
melanochir,WA,PERTH,WA,WA09,22,4,2019,26.7,ME,WA09,189,N,
melanochir,WA,PERTH,WA,WA10,22,4,2019,27.7,ME,WA10,189,Y,
melanochir,WA,PERTH,WA,WA11,22,4,2019,28,ME,WA11,189,N,
melanochir,WA,PERTH,WA,WA12,22,4,2019,24.9,ME,WA12,189,N,
melanochir,WA,PERTH,WA,WA13,22,4,2019,23.2,ME,WA13,189,N,
melanochir,WA,PERTH,WA,WA14,22,4,2019,28.4,ME,WA14,189,N,
melanochir,WA,PERTH,WA,WA15,22,4,2019,24.4,ME,WA15,189,N,
melanochir,WA,PERTH,WA,WA16,22,4,2019,27.8,ME,WA16,189,N,
melanochir,WA,PERTH,WA,WA17,22,4,2019,30.6,ME,WA17,189,N,
melanochir,WA,PERTH,WA,WA18,22,4,2019,23.2,ME,WA18,189,Y,
melanochir,WA,PERTH,WA,WA19,22,4,2019,29,ME,WA19,189,N,
melanochir,WA,PERTH,WA,WA20,22,4,2019,22.6,ME,WA20,189,N,
melanochir,WA,PERTH,WA,WA21,22,4,2019,28.9,ME,WA21,189,N,
melanochir,WA,PERTH,WA,WA22,22,4,2019,25.2,ME,WA22,189,N,
melanochir,WA,PERTH,WA,WA23,22,4,2019,26.1,ME,WA23,189,N,
melanochir,WA,PERTH,WA,WA24,22,4,2019,22.3,ME,WA24,189,N,
NA,NSW,EDEN,ED,E1,27,6,2019,26.7,,E1_Ha6263,189,N,N
melanochir,NSW,EDEN,ED,E2,27,6,2019,26.3,ME,E2_Ha6264,189,N,
melanochir,NSW,EDEN,ED,E3,27,6,2019,25.8,ME,E3_Ha6265,189,N,
melanochir,NSW,EDEN,ED,E4,27,6,2019,25.5,ME,E4_Ha6266,189,N,
melanochir,NSW,EDEN,ED,E5,27,6,2019,27.6,ME,E5_Ha6267,189,N,
melanochir,NSW,EDEN,ED,E6,27,6,2019,28.2,ME,E6_Ha6269,189,Y,
NA,NSW,EDEN,ED,E7,28,6,2019,26.2,,E7_Ha6270,189,Y,N
melanochir,NSW,EDEN,ED,E8,28,6,2019,27.7,ME,E8_Ha6274,189,N,
NA,NSW,EDEN,ED,E9,27,6,2019,24.5,,E9_Ha6277,189,N,N
melanochir,NSW,EDEN,ED,E10,27,6,2019,28,ME,E10_Ha6278,189,N,
australis,NSW,EDEN,ED,E11,27,6,2019,25.5,AU,E11_Ha6279,189,N,
melanochir,NSW,EDEN,ED,E12,27,6,2019,25.2,ME,E12_Ha6280,189,N,
melanochir,NSW,EDEN,ED,E13,27,6,2019,26,ME,E13_Ha6281,189,Y,
melanochir,NSW,EDEN,ED,E14,27,6,2019,26.4,ME,E14_Ha6282,189,Y,
melanochir,NSW,EDEN,ED,E15,25,7,2019,23.9,ME,E15_Ha6486,189,N,
australis,NSW,EDEN,ED,E16,25,7,2019,27.7,AU,E16_Ha6487,189,N,
australis,NSW,EDEN,ED,E17,25,7,2019,25.7,AU,E17_Ha6488,189,N,
